Licence Number,UWI,Client,Phase 1 ESA Vendor,PH 1 Year,Phase 1 ESA Result,Phase 1 ESA Well Centre,Phase 1 ESA Drilling Waste Disposal,Phase 1 ESA Flare Pit,Phase 1 ESA Aboveground Infrastructure,Phase 1 ESA Underground Storage Tank,Phase 1 ESA Spill,Phase 1 ESA Other APEC,Phase 2 ESA Vendor,Phase 2 ESA Year,Phase 2 ESA Result,Phase 2 ESA Well Centre,Phase 2 ESA Drilling Waste Disposal,Phase 2 ESA Flare Pit,Phase 2 ESA Aboveground Infrastructure,Phase 2 ESA Underground Storage Tank,Phase 2 ESA Spill,Phase 2 ESA Other APEC,Phase 2 ESA Well Centre Contaminated Volume (m3),Phase 2 ESA Drilling Waste Disposal Contaminated Volume (m3),Phase 2 ESA Flare Pit Contaminated Volume (m3),Phase 2 ESA Aboveground Infrastructure Contaminated Volume (m3),Phase 2 ESA Underground Storage Tank Contaminated Volume (m3),Phase 2 Spill Area Volume (m3),Phase 2 ESA Combined Contaminated Volume (m3),Remediation Vendor,Remediation Year,Well Centre Volume Remediated (m3),Drilling Waste Disposal Volume Remediated (m3),Flare Pit Volume Remediated (m3),Aboveground Infrastructure Volume Remediated (m3),Underground Storage Tank Volume Remediated (m3),Remediated Combined Volume (m3),Notes,Source,Cost - Phase 1 ESA,Cost - Phase 2 ESA,Cost - Phase 3 Remedial Report,Who entered the data,Source Dates,Budget (high level) or Amount,Units - Project Manager,Units - Project Coordinator ,Units - Administration ,Units - Line Locates ,Units - Hydrovac Lines ,Units - Survey,Units - Liner ,Units - Lowboy Equipment Mob/Demob,Units - Site Supervisor ,Units - Excavator ,Units - D6 Dozer ,Units - Operator Travel Time ,Units - Operator Crew Truck ,Units - Equipment Crew Subsistence ,Units - Lab Analysis ,Units - Truck and Pup,Units - Loader
,141/08‐16‐015‐26W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,,,,,,,,,,,,,,,,"The bare areas with salinity staining, WC, and DWDA failed",CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/08‐16‐021‐08W4M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,,Fail,,,,,,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/08‐17‐021‐08W4M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/08-18-022-07W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,Fail,,,,,,,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,141/08-20-014-26W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,100/08-24-021-08W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,102/08‐25‐015‐18W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,121/08-28-012-26W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/08‐29‐016‐11W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Fail,,,,,,,,,,,,,,,,,,,,,,,"SECURE recommends an additional assessment of the area to further evaluate
remediation options.   ",CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,141/08‐30‐013‐26W3M  ,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,141/08‐30‐015‐25W3M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,141/08‐31‐017‐29W3M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,102/08‐32‐021‐05W4M  ,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/08‐33‐021‐05W4M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/08-34-021-05W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,,,,,,,,,,,,,,,,,,,,,,,"SECURE recommends a Supplemental Phase II ESA be conducted to collect data for an alternate closure method such
as the Subsoil Salinity Tool (SST) or Native Prairie Protocol (NPP).  V",CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/08‐35‐020‐08W4M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/09‐06‐016‐17W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Fail,,,,,,,,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/09‐27‐015‐20W4/02,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,141/10‐01‐013‐27W3M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
