Licence Number,UWI,Client,Phase 1 ESA Vendor,PH 1 Year,Phase 1 ESA Result,Phase 1 ESA Well Centre,Phase 1 ESA Drilling Waste Disposal,Phase 1 ESA Flare Pit,Phase 1 ESA Aboveground Infrastructure,Phase 1 ESA Underground Storage Tank,Phase 1 ESA Spill,Phase 1 ESA Other APEC,Phase 2 ESA Vendor,Phase 2 ESA Year,Phase 2 ESA Result,Phase 2 ESA Well Centre,Phase 2 ESA Drilling Waste Disposal,Phase 2 ESA Flare Pit,Phase 2 ESA Aboveground Infrastructure,Phase 2 ESA Underground Storage Tank,Phase 2 ESA Spill,Phase 2 ESA Other APEC,Phase 2 ESA Well Centre Contaminated Volume (m3),Phase 2 ESA Drilling Waste Disposal Contaminated Volume (m3),Phase 2 ESA Flare Pit Contaminated Volume (m3),Phase 2 ESA Aboveground Infrastructure Contaminated Volume (m3),Phase 2 ESA Underground Storage Tank Contaminated Volume (m3),Phase 2 Spill Area Volume (m3),Phase 2 ESA Combined Contaminated Volume (m3),Remediation Vendor,Remediation Year,Well Centre Volume Remediated (m3),Drilling Waste Disposal Volume Remediated (m3),Flare Pit Volume Remediated (m3),Aboveground Infrastructure Volume Remediated (m3),Underground Storage Tank Volume Remediated (m3),Remediated Combined Volume (m3),Notes,Source,Cost - Phase 1 ESA,Cost - Phase 2 ESA,Cost - Phase 3 Remedial Report,Who entered the data,Source Dates,Budget (high level) or Amount,Units - Project Manager,Units - Project Coordinator ,Units - Administration ,Units - Line Locates ,Units - Hydrovac Lines ,Units - Survey,Units - Liner ,Units - Lowboy Equipment Mob/Demob,Units - Site Supervisor ,Units - Excavator ,Units - D6 Dozer ,Units - Operator Travel Time ,Units - Operator Crew Truck ,Units - Equipment Crew Subsistence ,Units - Lab Analysis ,Units - Truck and Pup,Units - Loader
118802,100/01-11-001-08W4/02,,,,Fail,,,,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,"P2 pass. Next step is rec. Contour with rubber tire hoe, topsoil addition (5 m3), seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
72403,100/04-06-001-07W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Monitor/weed control, DSA, RCA, remove fence (2 visits/year)",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
84688,100/02-01-001-08W4/00,,,,Fail,,,,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,"P2 pass. Next step rec.Monitor/weed control, DSA, RCA, remove fence (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$10,958.93 ",,,,,,,,,,,,,,,,,
72310,100/09-02-001-08W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Monitor/weed control, DSA, RCA, remove fence (2 visits/year)",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
276507,100/03-11-001-08W4/02,,,,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Contour with rubber tire hoe, topsoil addition (5 m3), seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$15,021.43 ",,,,,,,,,,,,,,,,,
72402,102/06-12-001-08W4/02,,,,Fail,Fail,Fail,,,,,,,,Pass,,,,,,,,,,,,,,,,,,,,,,,"Q: DWDA, WC marked for APEC w not Pass/Fail listed for PH2 and Rec as next step, does that mean PH2 passed? Notes: Next step rec. Contour with rubber tire hoe, topsoil addition (5 m3), manure application, seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
62953,100/06-28-001-08W4/00,,,,Fail,,Fail,,,,,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,Next step REM. P1 ESA Failed (DWDA) and P2 Failed DWDA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$283,242.50 ",,,,,,,,,,,,,,,,,
328384,100/05-03-016-22W4/00,,,,Fail,Fail,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,WC fail P1. Next step P2 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$10,000.00 ",,,,,,,,,,,,,,,,,
53641,100/07-08-007-09W4/00,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail P1. Next step P2. EM Survey,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
225078,100/05-26-007-09W4/04,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail P1. Next step P2. EM Survey.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
345929,100/15-21-008-11W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 ESA. APEC pass. Next step Rec.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$50,000.00 ",,,,,,,,,,,,,,,,,
352047,100/16-22-008-11W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
352049,100/14-29-008-11W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
338142,100/16-29-008-11W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
338029,100/01-31-008-11W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA/RCA (awaiting DSA results). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
351801,102/06-31-008-11W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
351802,100/14-31-008-11W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
357440,100/09-31-008-11W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
347703,100/16-25-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
251918,100/06-31-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
345922,100/16-32-008-12W4/04,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
396258,100/15-33-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
345942,100/16-33-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
362052,100/14-34-008-12W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA/RCA (awaiting DSA results). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
338096,100/16-35-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
247312,100/07-36-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
362051,100/09-36-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
366689,100/01-01-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374531,100/02-12-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374590,100/09-35-008-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374593,100/05-05-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374599,100/10-09-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374604,100/08-01-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
375899,100/16-30-008-11W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
380498,100/13-10-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
362186,100/02-02-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
393891,100/08-02-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
221538,100/01-03-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
366686,100/06-03-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
385304,100/08-03-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
399137,100/12-02-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
396411,100/08-04-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
247314,100/12-04-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
362170,100/10-05-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
366696,100/07-06-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374534,100/06-02-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374591,100/16-12-009-14W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374598,100/10-29-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374601,100/03-01-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374730,100/15-08-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
377236,100/13-21-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
380640,100/04-15-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
Riser,RiserSite,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
262423,100/03-07-009-12W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
231979,100/03-08-009-12W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
363744,100/14-02-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
251723,100/06-03-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
275959,100/15-04-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
351028,100/04-06-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
276774,100/08-18-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
352624,100/16-07-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
Riser,RiserSite,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
Riser,RiserSite,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail).APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
Riser,RiserSite,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
367428,100/01-16-009-13W4/02,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
357284,100/15-09-009-13W4/02,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail).APEC pass. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
251821,100/06-18-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
374529,100/09-29-009-13W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
353350,100/12-29-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
353439,100/14-31-009-13W4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
274632,100/04-24-009-14W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
353054,100/08-25-009-14W4/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
357531,100/04-27-009-14W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
353403,100/14-06-010-13W4/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
357532,100/16-02-010-14W4/02,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC fail. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
367017,100/03-12-010-14W4/02,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC fail. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
315438,100/16-34-010-17W4/00,,,,Fail,,,,,,,,,,Fail,,,,,,,,,,,,,,,,,,,,,,,DSA (fail). APEC fail. Next step monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
96270,100/05-19-011-17W4/00,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA fail for P1. next step P2. EM survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
99680,100/06-19-011-17W4/00,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA fail for P1. next step P2. EM survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
91284,100/12-04-014-22W4/00,,,,Fail,,,,,,,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,"P2 ESA failed (WC, DWDA). Next step REM.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$594,120.00 ",,,,,,,,,,,,,,,,,
174191,100/01-08-014-22W4/00,,,,Fail,,,,,,,,,,Fail,Pass,Pass,Pass,Pass,Fail,,,,,,,,,,,,,,,,,,P2 ESA failed (UST). Next step REM.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$116,128.53 ",,,,,,,,,,,,,,,,,
151455,100/10-10-014-22W4/02,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,,,,,,,,,,,,,,,,,,,,,,,,,,Q: Vegetation stress marked for APEC for P1 . Notes: Veg stress for APEC P1- marked P1 as fail as next step is P2.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$10,000.00 ",,,,,,,,,,,,,,,,,
167215,100/06-11-014-22W4/00,,,,Fail,Fail,Fail,Pass,Pass,Fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA, UST fail for P1. Next step is P2. EM Survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$17,600.00 ",,,,,,,,,,,,,,,,,
146611,100/02-24-014-23W4/00,,,,Fail,,,,,,,,,,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,"WC and DWDA (DST Hydrocarbon, incomplete tours) fail for P2. next step is REM. ",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$389,193.29 ",,,,,,,,,,,,,,,,,
144670,100/07-24-014-23W4/00,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA fail for P1. next step P2. EM survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
145595,100/06-24-014-23W4/00,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail for P1. Next step is P2. EM Survey.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
146720,100/10-24-014-23W4/00,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA fail for P1. next step P2. EM survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
144341,100/16-24-014-23W4/00,,,,Fail,Fail,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WC, DWDA fail for P1. next step P2. EM survey.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
145856,100/02-25-014-23W4/00,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail for P1. Next step is P2. EM Survey.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
143337,100/08-25-014-23W4/00,,,,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,"APEC: spill (no vol given), and DWDA fail for P1. Next step is P2. EM Survey. Fluid type water.",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
187428,100/10-27-015-20W4/00,,,,Fail,,,,,,,,,,Fail,Fail,Pass,Pass,Pass,Fail,,,,,,,,,,,,,,,,,,"WC, UST failed for P2. Next step is REM. ENV summary notes ""P1 ESA Failed. P2 ESA Failed (UST). REM Completed 2022""",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$200,000.00 ",,,,,,,,,,,,,,,,,
398490,102/10-27-015-20W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,Pass for APEC for Rec - so I put pass for P1. Next step is Monitoring/DSA/RCA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$5,000.00 ",,,,,,,,,,,,,,,,,
404973,100/13-09-015-22W4/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD (C&C). Next step P1 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$1,100.00 ",,,,,,,,,,,,,,,,,
